X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
130.10,158.91,137,22117.30,10.18,27015.02,8.63,0,0,281.71,9.96,357.34,2.33,221.55,8.91,187.78,7.56,1,3146.42,10.43,0.83,4
64.99,158.20,138,11048.84,7.63,26894.52,7.16,0,0,377.83,10.77,385.35,2.46,205.83,6.67,193.32,6.26,0,4112.88,12.99,0.88,4
129.87,158.56,138,22077.31,7.31,26954.42,6.48,0,0,389.18,9.80,355.27,2.38,223.42,6.41,198.09,5.68,0,4362.40,17.94,0.90,3
129.47,159.77,139,22010.34,10.71,27160.76,12.34,0,0,316.81,10.64,350.44,3.37,247.17,9.53,284.36,10.99,0,4126.27,12.70,0.82,3
130.76,163.33,141,22229.14,26.11,27766.20,16.97,0,0,153.60,10.02,356.74,2.94,308.63,23.25,201.20,15.03,0,3316.73,5.95,0.56,4
19.54,241.50,142,3321.59,3.79,41055.73,3.84,0,0,831.73,14.15,402.08,2.73,170.45,3.27,172.95,3.32,1,7728.19,35.52,0.96,4
130.66,164.01,142,22212.29,7.21,27881.19,8.68,0,0,376.72,10.86,352.14,2.64,192.44,6.32,231.49,7.60,0,3969.23,13.98,0.88,4
129.14,163.99,143,21953.48,11.32,27878.97,13.84,0,0,226.86,8.72,353.25,2.60,227.58,10.03,277.82,12.28,0,3753.10,7.34,0.78,3
128.51,163.46,144,21847.19,8.84,27788.83,8.51,0,0,322.31,12.19,362.38,2.42,179.21,7.67,172.37,7.36,1,3653.92,13.52,0.82,4
133.58,165.10,145,22707.78,4.67,28066.66,4.54,0,0,661.48,13.21,368.98,2.64,179.37,4.05,174.52,3.96,1,6792.02,23.34,0.94,4
78.22,149.25,146,13297.96,11.25,25372.85,10.36,0,0,223.37,10.31,377.43,2.09,187.18,9.80,172.28,9.02,1,3385.06,10.84,0.76,4
132.62,161.79,146,22546.18,8.15,27505.08,9.25,0,0,321.26,9.50,353.19,2.51,212.40,7.17,240.94,8.13,0,4629.08,10.38,0.87,4
88.56,140.24,147,15055.41,10.86,23840.90,9.43,0,0,217.83,9.48,378.99,1.91,191.43,9.44,166.24,8.21,1,2899.90,10.50,0.78,5
133.88,160.93,147,22760.23,10.12,27358.04,8.90,0,0,319.05,11.20,357.82,2.68,221.79,8.86,195.15,7.80,0,2564.06,10.32,0.83,4
136.15,163.60,148,23146.00,10.83,27812.26,11.16,0,0,225.45,7.78,356.85,2.26,242.35,9.58,249.90,9.87,0,4312.83,8.22,0.82,3
138.74,164.30,149,23586.31,17.61,27931.38,16.35,0,0,178.58,9.10,341.17,2.79,267.15,15.62,248.21,14.51,0,2439.77,6.27,0.67,3
67.56,113.38,151,11485.22,25.10,19274.50,19.16,0,0,137.86,12.99,375.38,2.62,204.22,21.83,155.40,16.41,1,2343.25,6.42,0.43,5
14.45,30.30,157,2455.98,28.99,5151.37,13.44,0,0,137.69,7.42,394.44,2.45,406.49,27.68,194.17,11.99,1,3224.31,6.87,0.64,4
112.38,196.75,159,19103.85,16.34,33446.88,11.27,0,0,215.41,11.18,367.85,2.57,242.01,14.28,166.94,9.85,1,3117.48,8.30,0.70,4
74.96,78.66,160,12743.46,14.43,13371.75,10.11,0,0,220.49,11.10,381.39,2.31,220.05,12.57,153.74,8.69,1,1499.69,8.50,0.72,4
29.25,190.10,166,4973.29,8.58,32317.76,8.31,0,0,346.90,12.80,405.83,2.54,178.60,7.46,172.97,7.25,1,3696.71,12.36,0.83,4
56.31,20.36,166,9572.72,18.51,3460.64,8.62,0,0,222.07,8.19,381.70,2.52,381.90,17.23,181.38,7.64,1,4248.56,10.70,0.80,4
29.18,190.21,167,4959.83,6.79,32335.86,6.47,0,0,461.40,13.37,413.90,2.65,179.79,5.91,171.31,5.63,1,6629.56,18.02,0.89,4
42.63,10.35,168,7246.74,16.61,1759.98,21.49,0,0,163.93,8.97,392.32,2.87,235.37,14.79,303.88,19.19,0,3431.44,5.61,0.63,4
146.35,207.12,175,24879.02,10.83,35210.15,9.15,0,0,291.92,11.64,343.09,2.54,208.77,9.45,176.46,8.00,1,3314.60,12.88,0.80,5
249.35,248.41,175,42389.01,3.81,42228.94,3.53,0,0,909.23,16.19,350.68,2.84,163.47,3.28,150.65,2.98,1,0.00,0.00,0.96,5
103.66,123.58,177,17622.73,16.40,21009.10,10.35,0,0,249.56,12.90,371.60,2.84,243.43,14.31,152.82,8.82,1,2311.27,7.77,0.70,4
21.46,166.52,179,3648.65,16.68,28309.21,16.10,0,0,173.43,13.69,379.05,2.42,161.30,14.27,155.33,13.65,1,203.60,7.69,0.53,5
240.20,178.54,180,40833.32,8.32,30351.77,6.86,0,0,374.14,13.40,345.61,2.41,177.71,7.22,145.04,5.69,1,2651.81,17.49,0.84,5
240.13,178.59,181,40822.66,5.90,30360.42,6.07,0,0,370.78,10.42,354.07,1.90,161.38,5.17,165.36,5.22,1,3330.00,15.45,0.90,4
66.79,103.44,182,11353.89,6.53,17584.47,5.85,0,0,474.06,13.56,396.36,2.51,175.02,5.68,156.02,4.98,1,4866.12,15.43,0.89,4
165.69,23.82,182,28168.05,10.23,4049.46,10.46,0,0,232.12,9.71,362.59,2.10,187.78,8.92,191.97,9.12,1,3094.21,8.98,0.78,4
134.03,151.29,183,22784.30,11.40,25719.97,7.42,0,0,300.77,11.67,354.02,2.40,225.42,9.93,146.17,6.38,1,3836.62,11.69,0.81,4
24.43,180.08,184,4152.38,15.87,30614.11,13.13,0,0,202.46,10.90,395.29,2.58,226.89,13.89,187.72,11.51,1,2626.79,7.04,0.68,4
24.40,179.60,185,4148.76,10.53,30531.31,11.15,0,0,268.88,13.22,397.00,2.51,163.91,9.06,173.69,9.65,1,2142.77,10.82,0.74,5
